,Team,Name,Rating,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
10,Cowboys,Dak Prescott,89,5.5,Home,84,-,Home,89,-,Away,73,-,Home,79,-,Away,72,-,Away,95,12.3,Home,81,26.4,Home,60,BYE,Bye,Bye,21.2,Away,84,20.6,Away,79,16.8,Home,73,17.8,Home,77,15.7,Home,76,22.2,Away,87,29,Home,95,16.4,Away,80,9.7,Away,79
11,Cowboys,Cooper Rush,58,2.6,Home,84,13.6,Home,89,12.4,Away,73,17.6,Home,79,4,Away,72,8.2,Away,95,-,Home,81,-,Home,60,BYE,Bye,Bye,-,Away,84,1.2,Away,79,-,Home,73,-,Home,77,-,Home,76,-,Away,87,-,Home,95,-,Away,80,0,Away,79
12,Chargers,Justin Herbert,88,23.3,Home,72,24.5,Away,92,13.6,Home,87,21.1,Away,76,14.4,Away,99,9.4,Home,69,18.1,Home,74,BYE,Bye,Bye,13.1,Away,81,13,Away,98,19.7,Home,92,28.8,Away,67,18.1,Away,72,19.5,Home,88,10.7,Home,80,6.5,Away,77,16.7,Home,72,18.8,Away,69
13,Chargers,Chase Daniel,61,-,Home,72,-,Away,92,-,Home,87,-,Away,76,-,Away,99,-,Home,69,-,Home,74,-,Bye,Bye,-,Away,81,0,Away,98,-,Home,92,-,Away,67,-,Away,72,-,Home,88,-,Home,80,-,Away,77,1.1,Home,72,7.4,Away,69
14,Ravens,Lamar Jackson,87,21.2,Away,95,42.6,Home,88,40.4,Away,90,15.1,Home,91,15.8,Home,89,17.1,Away,73,10.7,Home,99,21.8,Away,84,17.5,Away,87,BYE,Bye,Bye,16.5,Home,84,23.1,Away,87,1.3,Home,69,-,Away,89,-,Away,99,-,Home,81,-,Home,89,-,Away,89
15,Ravens,Tyler Huntley,68,-,Away,95,-,Home,88,-,Away,90,-,Home,91,-,Home,89,-,Away,73,-,Home,99,-,Away,84,-,Away,87,BYE,Bye,Bye,-,Home,84,-,Away,87,16.6,Home,69,6.6,Away,89,6,Away,99,13.2,Home,81,10.6,Home,89,-,Away,89
16,Broncos,Russell Wilson,87,17.8,Away,74,12.1,Home,76,9.1,Home,98,26.5,Away,72,11.2,Home,77,13.8,Away,74,-,Home,95,14.8,Away,87,BYE,Bye,Bye,15.2,Away,80,10.7,Home,72,8.5,Away,84,9.7,Away,95,26.6,Home,92,-,Home,67,11.3,Away,72,24.6,Away,92,24.1,Home,74
17,Broncos,Brett Rypien,58,-,Away,74,-,Home,76,-,Home,98,-,Away,72,-,Home,77,-,Away,74,8.9,Home,95,-,Away,87,-,Bye,Bye,-,Away,80,BYE,Home,72,-,Away,84,-,Away,95,3.6,Home,92,8.7,Home,67,0.8,Away,72,-,Away,92,-,Home,74
18,Broncos,Josh Johnson,56,-,Away,74,-,Home,76,-,Home,98,-,Away,72,-,Home,77,-,Away,74,-,Home,95,-,Away,87,-,Bye,Bye,BYE,Away,80,-,Home,72,-,Away,84,-,Away,95,0.7,Home,92,-,Home,67,-,Away,72,-,Away,92,-,Home,74
19,Rams,Matthew Stafford,85,10.8,Home,91,20.9,Home,81,10.2,Away,67,7.8,Away,98,11.3,Home,97,12.8,Home,84,BYE,Bye,Bye,17.4,Home,98,10.5,Away,84,-,Home,67,14.8,Away,87,-,Away,92,-,Home,74,-,Home,72,-,Away,84,-,Home,69,-,Away,74,-,Away,74
20,Rams,John Wolford,58,-,Home,91,-,Home,81,-,Away,67,-,Away,98,-,Home,97,-,Home,84,-,Bye,Bye,-,Home,98,-,Away,84,9.8,Home,67,BYE,Away,87,-,Away,92,8,Home,74,-,Home,72,-,Away,84,-,Home,69,-,Away,74,-,Away,74
21,Rams,Bryce Perkins,54,-,Home,91,-,Home,81,-,Away,67,-,Away,98,-,Home,97,-,Home,84,-,Bye,Bye,-,Home,98,-,Away,84,0.3,Home,67,6.5,Away,87,10.4,Away,92,0.5,Home,74,-,Home,72,-,Away,84,-0.2,Home,69,-,Away,74,-,Away,74
22,Browns,Deshaun Watson,84,-,Away,84,-,Home,95,-,Home,89,-,Away,81,-,Home,74,-,Home,90,-,Away,95,-,Home,89,BYE,Bye,Bye,-,Away,88,-,Away,91,-,Home,84,6.3,Away,76,17.3,Away,89,12.6,Home,95,12.8,Home,87,21.9,Away,79,19.6,Away,89
23,Browns,Baker Mayfield,77,19,Away,84,13.3,Home,95,10.7,Home,89,7.9,Away,81,7.6,Home,74,-,Home,90,-,Away,95,-,Home,89,14.2,Bye,Bye,-,Away,88,7,Away,91,-,Home,84,-,Away,76,14.2,Away,89,7.5,Home,95,17.4,Home,87,4.1,Away,79,6.5,Away,89
